assaultp|Assault Plus (Japan)|1.1M
astdelu1|Asteroids Deluxe (rev 1)|10.5K
astdelux|Asteroids Deluxe (rev 2)|10.4K
asterix|Asterix (World ver. EAD)|3.5M
asterock|Asterock|7.5K
asteroi1|Asteroids (rev 1)|6.8K
asteroib|Asteroids (bootleg on Lunar Lander hardware)|6.9K
asteroid|Asteroids (rev 2)|6.9K
astinvad|Astro Invader|6.5K
astorm|Alien Storm|2.1M
astorm2p|Alien Storm (2 Player)|2.1M
astormbl|Alien Storm (bootleg)|2.0M
astrass|Astra SuperStars|17.8M
astrob|Astro Blaster (version 3)|33.4K
astrob1|Astro Blaster (version 1)|30.6K
astrob2|Astro Blaster (version 2)|33.4K
astrof|Astro Fighter (set 1)|9.2K
astrof2|Astro Fighter (set 2)|10.1K
astrof3|Astro Fighter (set 3)|10.1K
astrofl|Astro Flash (Japan)|65.2K
astrxeaa|Asterix (World ver. EAA)|3.5M
astrxeac|Asterix (World ver. EAC)|3.5M
astyanax|The Astyanax|1.1M
asuka|Asuka and Asuka (Japan)|648.9K
asurabld|Asura Blade - Sword of Dynasty|8.5M
asurabus|Asura Buster - Eternal Warriors|11.4M
asylum|Asylum (prototype)|2.3M
atarifb|Atari Football (revision 2)|6.1K
atarifb1|Atari Football (revision 1)|6.1K
atarifb4|Atari Football (4 players)|9.6K
ataxx|Ataxx (set 1)|622.6K
ataxxa|Ataxx (set 2)|623.2K
ataxxj|Ataxx (Japan)|631.0K
atehate|Athena no Hatena [Q]|1.9M
atetckt2|Tetris (Cocktail set 2)|51.8K
atetcktl|Tetris (Cocktail set 1)|51.9K
atetris|Tetris (set 1)|52.2K
atetrisa|Tetris (set 2)|52.2K
atetrisb|Tetris (bootleg)|51.6K
athena|Athena|142.0K
atlantis|Battle of Atlantis (set 1)|12.6K
atlants2|Battle of Atlantis (set 2)|14.9K
atomboy|Atomic Boy|38.0K
atomicp|Atomic Point|109.8K
atompunk|New Atomic Punk - Global Quest (US)|526.9K
aurail|Aurail (set 1)|1.3M
auraila|Aurail (set 2)|1.3M
av2mj1bb|AV2Mahjong No.1 Bay Bridge no Seijo (Japan)|273.6K
av2mj2rg|AV2Mahjong No.2 Rouge no Kaori (Japan)|349.5K
avalnche|Avalanche|4.9K
avenger2|Avengers (US set 2)|350.1K
avengers|Avengers (US set 1)|350.1K
avengrgs|Avengers In Galactic Storm (US/Europe 1.0)|16.7M
avengrgsj|Avengers In Galactic Storm (Japan 1.2)|16.7M
avsp|Alien vs. Predator (Euro 940520)|10.6M
avspa|Alien vs. Predator (Asia 940520)|10.0M
avspirit|Avenging Spirit|1.0M
avspj|Alien vs. Predator (Japan 940520)|10.6M
avspu|Alien vs. Predator (USA 940520)|10.6M
aztarac|Aztarac|31.8K
azurian|Azurian Attack|11.0K
backfire|Backfire!|9.4M
baddudes|Bad Dudes vs. Dragonninja (US)|444.1K
badlands|Bad Lands|356.1K
bagman|Bagman|22.7K
bagmanmc|Bagman (Moon Cresta hardware)|21.2K
bagmans|Bagman (Stern set 1)|22.9K
bagmans2|Bagman (Stern set 2)|22.9K
bagnard|Le Bagnard|22.8K
bakatono|Bakatonosama Mahjong Manyuki|3.0M
bakubaku|Baku Baku Animal|7.1M
bakubrkr|Bakuretsu Breaker|2.1M
bakuhatu|Mahjong Bakuhatsu Junjouden (Japan)|511.8K
bakutotu|Bakutotsu Kijuutei|345.4K
balcube|Bal Cube|3.4M
ballbomb|Balloon Bomber|6.8K
ballbros|Balloon Brothers|1.1M
balonfgt|Vs. Balloon Fight|57.9K
baluba|Baluba-louk no Densetsu|66.6K
bananadr|Mahjong Banana Dream [BET] (Japan 891124)|424.0K
bandido|Bandido|9.5K
bang|Bang!|2.4M
bangball|Bang Bang Ball (v1.05)|4.2M
bangbead|Bang Bead|20.2M
bangj|Gun Gabacho (Japan)|2.4M
bankp|Bank Panic|66.2K
baraduka|Baraduke (set 2)|79.5K
baraduke|Baraduke (set 1)|79.4K
barricad|Barricade|2.3K
barrier|Barrier|3.3K
baryon|Baryon - Future Assault|2.2M
basebal2|Baseball The Season II|129.4K
batcir|Battle Circuit (Euro 970319)|11.5M
batcira|Battle Circuit (Asia 970319)|10.8M
batcirj|Battle Circuit (Japan 970319)|11.5M
batman|Batman|1.5M
batman2|Batman Part 2|15.8K
batmanfr|Batman Forever|24.8M
batrider|Armed Police Batrider (Japan, version B)|7.9M
batridra|Armed Police Batrider (Japan, version A)|7.9M
batridrk|Armed Police Batrider (Korea, version B)|7.9M
batsugun|Batsugun|2.3M
battlan2|Battle Lane! Vol. 5 (set 2)|111.5K
battlan3|Battle Lane! Vol. 5 (set 3)|111.4K
battlane|Battle Lane! Vol. 5 (set 1)|113.1K
battlcry|Battlecry|1.7M
battleg|Battle Garegga - Type 2 (Denmark - China) (Tue Apr 2 1996)|4.0M
battlega|Battle Garegga (Europe - USA - Japan - Asia) (Sat Feb 3 1996)|4.0M
battlegb|Battle Garegga (Austria - Hong Kong) (Sat Mar 2 1996)|4.0M
battlera|Battle Rangers (World)|276.2K
battles|Battles|42.3K
battlex|Battle Cross|20.7K
battlntj|Battlantis (Japan)|224.6K
battlnts|Battlantis|224.5K
battroad|The Battle-Road|69.2K
batugnsp|Batsugun (Special Ver.)|2.3M
batwings|Battle Wings (alt)|52.9K
bayrouta|Bay Route (set 2)|676.4K
bayroute|Bay Route (set 1)|634.7K
bayrtbl1|Bay Route (bootleg set 1)|676.2K
bayrtbl2|Bay Route (bootleg set 2)|499.5K
bbakradu|Battle Bakraid - Unlimited version (Japan) (Tue Jun 8 1999)|15.4M
bbakraid|Battle Bakraid (Japan) (Wed Apr 7 1999)|15.4M
bballs|Bouncing Balls|173.2K
bbbuster|Bang Bang Busters|2.1M
bbbxing|Best Bout Boxing|9.9M
bbmanw|Bomber Man World (World)|526.9K
bbmanwj|Bomber Man World (Japan)|526.9K
bbonk|Bigfoot Bonkers|2.5K
bbprot|Untitled Fighter 'BB' (prototype)|2.4M
bbros|Buster Bros. (US)|411.6K
bbusters|Beast Busters (World [Q])|2.2M
bchopper|Battle Chopper|610.8K
bcrusher|Bone Crusher|126.1K
bcruzm12|Battle Cruiser M-12|23.5K
bcstry|BC Story|1.8M
beaminv|Beam Invader|5.8K
beastf|Beastie Feastie|15.5K
beastrzb|Beastorizer (bootleg)|6.2M
beastrzr|Beastorizer|8.6M
